,Text,Aspect Term,Sentiment,Polarity
0,गुठी विधेक ल्याएर ठमेल मा राज गुठि को जग्गा मा बने को छाया सेन्टर जस्ता लाई जोगाउन को लागि ल्याउदैछ विधेक ।,जोगाउन को लागि,GENERAL,0
1,दले ले देश सकेछन सबै बेचे र खान सुरू गरेछन अब दले लाई लखेटनु पछ ।,लखेटनु पछ,GENERAL,1
2,नेपाल को ससकृती ध्वस्त पार्ने योजना हो यो !,ससकृती ध्वस्त पार्ने,GENERAL,1
3,मठ मन्दिर गुम्बा का जग्गा हरु मा भुमाफिया को नजर परे को हुना ले यो विधेक आए को हो !,भुमाफिया,GENERAL,1
4,नेपाल का कल कर्खाना र नदि नाला बेची सके अब मठ मन्दीर लाई पनि बेची खाने नियत देखिन्छ ।,बेची सके,GENERAL,1
5,नेपाल का कल कर्खाना र नदि नाला बेची सके अब मठ मन्दीर लाई पनि बेची खाने नियत देखिन्छ ।,बेची खाने नियत,GENERAL,1
6,यो भणडारि लई कालोमोसो लगाएर भगउनु पर्छ तर्क चै नदीने खालि राम्रो छ मात्र भन्ने ।,कालोमोसो लगाएर भगउनु पर्छ,GENERAL,1
7,"अन्य देश मा जमिन राज्य काे हुन्छ , , जनता रदेश मा घात हुदैन , तर नेपाल मा , जमिन झाेले , झन्डे ले घात गरे अाफ्ने बनाउ छन ।","झाेले , झन्डे",GENERAL,1
8,सरकार बिदेशि को डिजाइन मा छ सनातन को सम्राट राजा लाइ हटाए पछि सास्कृतिक मास्न सजिलो हुन्छ भनेर तिब्र रुप मा अगाडि गणतन्त्र बड्दै छ ।,सनातन को सम्राट,GENERAL,0
9,सरकार बिदेशि को डिजाइन मा छ सनातन को सम्राट राजा लाइ हटाए पछि सास्कृतिक मास्न सजिलो हुन्छ भनेर तिब्र रुप मा अगाडि गणतन्त्र बड्दै छ ।,बिदेशि को डिजाइन मा,GENERAL,1
10,याे भन्डारि दलाल लाइ किन ल्याएकाे ।,दलाल,GENERAL,1
11,यो साला नाके बाहुन गूठी बिदयेक पारित गरेर भु माफिया सग अरबौ रुपियाँ लुतेर खाने दाउ मा छ ।,लुतेर खाने दाउ मा छ,GENERAL,1
12,यो बिस्नु पौडेल को हनुमान हो ।,हनुमान,GENERAL,1
13,मुन को मुत खाको चोर हरु लाई गूठी देखि सकेनन् ।,मुत खाको चोर,GENERAL,1
14,गान्धी भारत मा anti हिन्दु हुदा नाथुराम गोद्से ले गन्धी लाई गोलि हानी मरे ।,anti हिन्दु,GENERAL,1
15,यो अन्तरबार्ता हेर्दा त गुठी को नाम मा लुटि खान पल्के का लाई सरकार ले नियमन गर्ने हरहिसाब पारदर्शी गर्न खोज्दा खेरी निन्द्रा हराम गरे जस्तो लागो ।,लुटि खान पल्के का,GENERAL,1
16,मुन को बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु ले ।,मुन का सन्तान,GENERAL,1
17,मुन को बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु ले ।,मुन को बिर्यपान,GENERAL,1
18,मुन को बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु ले ।,बेचेर खान्छन्,GENERAL,1
19,कमिसन खोरी हरु ले बाटो खोजी रहे को कुरा लाटा ले पनि बुजे को छ लाजमर्दो तर्क नगर चोर हरु ।,कमिसन खोरी,GENERAL,1
20,खान नपाए का भिकारी परेछ्न बा की केही नराख्ने भए ?,भिकारी,GENERAL,1
21,"गुठी ब्यबस्थापन सम्बन्धी कुरा जनता लाइ त कसरी थाहा होस , मात्र काग ले कान लग्यो भन्दियो कसै ले , पछि दगुर्ने हुन् ।",पछि दगुर्ने हुन्,GENERAL,1
22,गुठी बिधयक सहि छ मात्र सबै ले बुझ्न नसके को हो ।,सहि छ,GENERAL,0
23,गुठी बिधयक सहि छ मात्र सबै ले बुझ्न नसके को हो ।,बुझ्न नसके को,GENERAL,1
24,बन्जाडे मुला अलिक ठुलो नेता हरुलाइ लेउनु न हौ ।,मुला,GENERAL,1
25,योगि नरहरिनाथ ले उहिल्यै घोषणा गरे का रहेछ्न----- कलियुग को अन्त तिर राक्षस हरु ब्राह्मण कुल मा जन्म लिएर आउनेछ्न ।,राक्षस,GENERAL,1
26,तिनी हरु ले राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि आफै शासनसत्ता हात मा लिनेछ्न ।,राजा फाल्नेछ्न धर्म त्याग्नेछ्न,GENERAL,1
27,तिनी हरु ले राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि आफै शासनसत्ता हात मा लिनेछ्न ।,शासनसत्ता हात मा लिनेछ्न,GENERAL,1
28,आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता को राज मा योगि नरहरिनाथ को भबिस्यबाणी ठ्याक् कै मिले को छ ।,राक्षस,GENERAL,1
29,आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता को राज मा योगि नरहरिनाथ को भबिस्यबाणी ठ्याक् कै मिले को छ ।,प्रचन्डे,GENERAL,1
30,आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता को राज मा योगि नरहरिनाथ को भबिस्यबाणी ठ्याक् कै मिले को छ ।,बोकोहराम उखाने,GENERAL,1
31,यो सोम भन्ने मान्छे नै भू माफिया जस्तो लाग्यो ... गुठि खान आए को मान्छे ... गुठि जग्गा पूर्ण सरकार को हुनु पर्छ ... ।,भू माफिया,GENERAL,1
32,धर्म संस्कृत जोगाउन नेवार मात्र नभइ बाहुन छेत्री तामाङ सबै छेत्र का मान्छे सडक मा आउनुपर्छ ।,सडक मा आउनुपर्छ,GENERAL,0
