,f1,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/hidden_dim,config/optimizer,config/lr,config/epochs,config/activation,config/dropout,logdir
13,0.6383807357830301,1736680793,,False,50,00214_00015,2025-01-12_11-19-53,0.762272834777832,31.811886072158813,12570,52f1317f08b4,172.28.0.12,31.811886072158813,50,8,64,Adamax,0.0015459934790738002,50,<class 'torch.nn.modules.activation.LeakyReLU'>,0.27275822253553167,00214_00015
2,0.6066686202395278,1736680424,,False,100,00214_00002,2025-01-12_11-13-44,0.5712795257568359,63.219963788986206,9878,52f1317f08b4,172.28.0.12,63.219963788986206,100,8,64,Adam,0.0005187061085667165,100,<class 'torch.nn.modules.activation.LeakyReLU'>,0.25369941442007427,00214_00002
21,0.6019264003869809,1736681120,,True,30,00214_00027,2025-01-12_11-25-20,0.582996129989624,19.741129159927368,14911,52f1317f08b4,172.28.0.12,19.741129159927368,30,8,64,Adam,0.0017282862539046663,400,<class 'torch.nn.modules.activation.Tanh'>,0.25352698730528506,00214_00027
39,0.5929735132144669,1736681602,,True,120,00214_00049,2025-01-12_11-33-22,0.5739898681640625,94.4004123210907,18290,52f1317f08b4,172.28.0.12,94.4004123210907,120,8,256,AdamW,0.0002785374016563132,400,<class 'torch.nn.modules.activation.Tanh'>,0.27906315610016963,00214_00049
19,0.5917326837472676,1736681055,,True,120,00214_00023,2025-01-12_11-24-15,0.3614513874053955,41.250572681427,14244,52f1317f08b4,172.28.0.12,41.250572681427,120,16,64,AdamW,0.003996960036540341,300,<class 'torch.nn.modules.activation.LeakyReLU'>,0.36744557339587247,00214_00023
30,0.590761793288071,1736681335,,True,30,00214_00037,2025-01-12_11-28-55,0.1689760684967041,6.631770372390747,16631,52f1317f08b4,172.28.0.12,6.631770372390747,30,32,256,NAdam,0.0019894978410753225,400,<class 'torch.nn.modules.activation.Tanh'>,0.20857836045730685,00214_00037
24,0.5899073983880396,1736681230,,True,120,00214_00030,2025-01-12_11-27-10,0.5835263729095459,75.37510418891907,15372,52f1317f08b4,172.28.0.12,75.37510418891907,120,8,256,Adam,0.0003942368447783774,200,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4542164832655618,00214_00030
15,0.5865137889166521,1736680937,,True,200,00214_00017,2025-01-12_11-22-17,0.554764986038208,121.14003396034241,12951,52f1317f08b4,172.28.0.12,121.14003396034241,200,8,128,Adamax,0.0018711168273635895,350,<class 'torch.nn.modules.activation.ReLU'>,0.2289833034674098,00214_00017
9,0.5864878700723145,1736680710,,True,30,00214_00011,2025-01-12_11-18-30,0.13161730766296387,5.026035785675049,12034,52f1317f08b4,172.28.0.12,5.026035785675049,30,64,64,AdamW,0.006777040521300781,150,<class 'torch.nn.modules.activation.Tanh'>,0.4439557257926661,00214_00011
4,0.5861635339662328,1736680595,,True,30,00214_00004,2025-01-12_11-16-35,0.5733997821807861,19.38300895690918,10959,52f1317f08b4,172.28.0.12,19.38300895690918,30,8,256,Adam,0.0017394456070536335,200,<class 'torch.nn.modules.activation.LeakyReLU'>,0.3385547610088202,00214_00004
